scenario,waypoint,distance_along_m,time_s,mean_raw_cross_correlation,mean_raw_difference_power,min_raw_difference_power,max_raw_difference_power
linear_lens,0,0.0,0.0,1.088618e-10,5.727956e-10,8.112413e-11,1.644365e-09
linear_lens,1,0.95,0.95,8.620926e-11,5.018267e-10,7.283632e-11,1.424319e-09
linear_lens,2,1.9,1.9,1.190804e-10,5.620372e-10,9.624314e-11,1.647294e-09
linear_lens,3,2.85,2.85,9.733348e-11,5.828823e-10,7.948387e-11,1.609501e-09
linear_lens,4,3.8,3.8,9.756113e-11,5.716721e-10,5.254163e-11,1.6323e-09
linear_lens,5,4.75,4.75,9.977319e-11,5.189788e-10,1.804921e-10,1.221174e-09
linear_lens,6,5.7,5.7,1.068427e-10,5.103242e-10,1.002187e-10,1.232822e-09
linear_lens,7,6.65,6.65,1.03367e-10,4.37099e-10,1.205685e-10,1.092975e-09
linear_lens,8,7.6,7.6,1.174516e-10,4.965264e-10,1.031038e-10,1.289664e-09
linear_lens,9,8.55,8.55,1.185302e-10,5.630864e-10,8.560329e-11,1.700294e-09
linear_lens,10,9.5,9.5,9.11737e-11,5.014947e-10,5.776059e-11,2.64574e-09
linear_lens,11,10.45,10.45,1.265791e-10,5.916665e-10,1.393214e-10,1.532134e-09
linear_lens,12,11.4,11.4,1.292493e-10,5.241433e-10,1.547793e-10,1.250662e-09
linear_lens,13,12.35,12.35,1.078799e-10,4.092717e-10,1.156862e-10,8.238681e-10
linear_lens,14,13.3,13.3,1.191715e-10,4.973524e-10,1.676363e-10,1.058075e-09
linear_lens,15,14.25,14.25,1.073395e-10,5.371806e-10,1.678043e-10,1.19097e-09
linear_lens,16,15.2,15.2,1.024957e-10,4.437463e-10,1.178144e-10,8.684505e-10
linear_lens,17,16.15,16.15,1.006792e-10,5.263886e-10,1.322315e-10,1.253159e-09
linear_lens,18,17.1,17.1,8.324798e-11,4.546116e-10,1.411599e-10,8.973991e-10
linear_lens,19,18.05,18.05,5.948949e-11,3.087547e-10,6.700289e-11,7.062782e-10
linear_lens,20,19.0,19.0,5.554898e-11,2.694332e-10,9.472566e-11,7.682141e-10
